,State,Month,total_doses_day,total_samples_day,Projected Total Population,testing_rate,vaccination_rate,PHC,CHC,SDH,DH,Total,num_beds,total_hosp,hosp_per_capita,Hospital_Category,HDI,HDI_Category
126,Kerala,7,6069374.0,4143341.0,35699443,11.606178281268981,17.001312877626688,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
127,Kerala,8,1932631.0,1528535.0,35699443,4.281677448020687,5.413616677436676,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
128,Lakshadweep,1,807.0,2328.0,73183,3.181066641159832,1.1027151114329832,4,3,2,1,10,250,10,0.00013664375606356667,High,0.719,High
129,Lakshadweep,2,1124.0,28879.0,73183,39.46135031359742,1.5358758181544894,4,3,2,1,10,250,10,0.00013664375606356667,High,0.719,High
130,Lakshadweep,3,5536.0,17270.0,73183,23.598376672177963,7.564598335679051,4,3,2,1,10,250,10,0.00013664375606356667,High,0.719,High
131,Lakshadweep,4,16200.0,27236.0,73183,37.216293401473024,22.1362884822978,4,3,2,1,10,250,10,0.00013664375606356667,High,0.719,High
132,Lakshadweep,5,10612.0,58903.0,73183,80.48727163412268,14.500635393465696,4,3,2,1,10,250,10,0.00013664375606356667,High,0.719,High
133,Lakshadweep,6,21064.0,47125.0,73183,64.3933700449558,28.782640777229684,4,3,2,1,10,250,10,0.00013664375606356667,High,0.719,High
134,Lakshadweep,7,11509.0,36208.0,73183,49.47597119549622,15.726329885355888,4,3,2,1,10,250,10,0.00013664375606356667,High,0.719,High
135,Lakshadweep,8,2086.0,8775.0,73183,11.990489594577976,2.8503887514860007,4,3,2,1,10,250,10,0.00013664375606356667,High,0.719,High
136,Madhya Pradesh,1,285481.0,720257.0,85358965,0.8437977194311106,0.3344475884870441,1420,324,72,51,1867,38140,1867,2.1872336432382936e-05,Low,0.611,Low
137,Madhya Pradesh,2,518897.0,424113.0,85358965,0.49685818004002275,0.6078998263392721,1420,324,72,51,1867,38140,1867,2.1872336432382936e-05,Low,0.611,Low
138,Madhya Pradesh,3,2824540.0,603046.0,85358965,0.7064823243815105,3.309013880381516,1420,324,72,51,1867,38140,1867,2.1872336432382936e-05,Low,0.611,Low
139,Madhya Pradesh,4,4679817.0,1358648.0,85358965,1.5916875280762834,5.482513758220944,1420,324,72,51,1867,38140,1867,2.1872336432382936e-05,Low,0.611,Low
140,Madhya Pradesh,5,3090781.0,2148735.0,85358965,2.5172927061615615,3.620921364264433,1420,324,72,51,1867,38140,1867,2.1872336432382936e-05,Low,0.611,Low
141,Madhya Pradesh,6,9143839.0,2179295.0,85358965,2.5530944523518997,10.712218687281412,1420,324,72,51,1867,38140,1867,2.1872336432382936e-05,Low,0.611,Low
142,Madhya Pradesh,7,11685051.0,2351614.0,85358965,2.7549701428549422,13.689307268428102,1420,324,72,51,1867,38140,1867,2.1872336432382936e-05,Low,0.611,Low
143,Madhya Pradesh,8,3457467.0,717288.0,85358965,0.840319467322501,4.050502486762814,1420,324,72,51,1867,38140,1867,2.1872336432382936e-05,Low,0.611,Low
144,Maharashtra,1,234520.0,1869535.0,123144223,1.5181670357366257,0.19044336330742856,2638,430,101,70,3239,68998,3239,2.630249248476723e-05,Low,0.695,Medium
145,Maharashtra,2,953028.0,1667444.0,123144223,1.3540578350963326,0.7739120656922737,2638,430,101,70,3239,68998,3239,2.630249248476723e-05,Low,0.695,Medium
146,Maharashtra,3,5349941.0,3507531.0,123144223,2.8483114469770943,4.344451464848659,2638,430,101,70,3239,68998,3239,2.630249248476723e-05,Low,0.695,Medium
147,Maharashtra,4,9813586.0,7314139.0,123144223,5.939490153752482,7.969180982204906,2638,430,101,70,3239,68998,3239,2.630249248476723e-05,Low,0.695,Medium
148,Maharashtra,5,6402773.0,7948772.0,123144223,6.454847662646748,5.199409963389026,2638,430,101,70,3239,68998,3239,2.630249248476723e-05,Low,0.695,Medium
149,Maharashtra,6,9852948.0,6582896.0,123144223,5.345679918740483,8.001145128829958,2638,430,101,70,3239,68998,3239,2.630249248476723e-05,Low,0.695,Medium
150,Maharashtra,7,11920035.0,6329659.0,123144223,5.140037304064195,9.679735443212794,2638,430,101,70,3239,68998,3239,2.630249248476723e-05,Low,0.695,Medium
151,Maharashtra,8,2793763.0,1937456.0,123144223,1.5733226884707372,2.2686918898339226,2638,430,101,70,3239,68998,3239,2.630249248476723e-05,Low,0.695,Medium
152,Manipur,1,2970.0,40598.0,3091545,1.313194535418375,0.0960684706190594,87,17,1,9,114,2562,114,3.687476650024502e-05,Medium,0.683,Medium
153,Manipur,2,47618.0,34618.0,3091545,1.1197637427241072,1.5402654659725152,87,17,1,9,114,2562,114,3.687476650024502e-05,Medium,0.683,Medium
154,Manipur,3,64942.0,26400.0,3091545,0.8539419610583058,2.100632531630625,87,17,1,9,114,2562,114,3.687476650024502e-05,Medium,0.683,Medium
155,Manipur,4,137720.0,38304.0,3091545,1.2389921544082327,4.454730563520829,87,17,1,9,114,2562,114,3.687476650024502e-05,Medium,0.683,Medium
156,Manipur,5,207830.0,102982.0,3091545,3.331085266428275,6.722528703285898,87,17,1,9,114,2562,114,3.687476650024502e-05,Medium,0.683,Medium
157,Manipur,6,197309.0,184573.0,3091545,5.9702511203944955,6.3822134240323205,87,17,1,9,114,2562,114,3.687476650024502e-05,Medium,0.683,Medium
158,Manipur,7,658464.0,184941.0,3091545,5.982154553791066,21.298865130541525,87,17,1,9,114,2562,114,3.687476650024502e-05,Medium,0.683,Medium
159,Manipur,8,92407.0,55233.0,3091545,1.7865824369368715,2.9890232877088962,87,17,1,9,114,2562,114,3.687476650024502e-05,Medium,0.683,Medium
160,Meghalaya,1,3120.0,42754.0,3366710,1.2699044467744476,0.09267207451785274,138,29,,13,180,4585,180,5.3464658375684274e-05,High,0.65,Medium
161,Meghalaya,2,40744.0,34549.0,3366710,1.0261947123452866,1.2102022449216,138,29,,13,180,4585,180,5.3464658375684274e-05,High,0.65,Medium
162,Meghalaya,3,71858.0,33309.0,3366710,0.9893635032420375,2.134368567533289,138,29,,13,180,4585,180,5.3464658375684274e-05,High,0.65,Medium
163,Meghalaya,4,177805.0,58999.0,3366710,1.7524229886149978,5.281268656938079,138,29,,13,180,4585,180,5.3464658375684274e-05,High,0.65,Medium
164,Meghalaya,5,175310.0,113431.0,3366710,3.3691942578956904,5.207160699911784,138,29,,13,180,4585,180,5.3464658375684274e-05,High,0.65,Medium
165,Meghalaya,6,233523.0,123097.0,3366710,3.6562994733731147,6.9362374543694,138,29,,13,180,4585,180,5.3464658375684274e-05,High,0.65,Medium
166,Meghalaya,7,387487.0,146375.0,3366710,4.347716316522659,11.50936671112154,138,29,,13,180,4585,180,5.3464658375684274e-05,High,0.65,Medium
167,Meghalaya,8,83854.0,50347.0,3366710,1.4954361973558756,2.4906808130192384,138,29,,13,180,4585,180,5.3464658375684274e-05,High,0.65,Medium
168,Mizoram,1,7984.0,27709.0,1239244,2.2359599885091233,0.6442637608090094,65,10,3,9,87,2312,87,7.020409217232441e-05,High,0.709,High
